value_exc_vat,value_inc_vat,valid_from,valid_to
16.8881,17.732505,2023-01-01T00:00:00Z,2023-03-31T23:00:00Z
15.5751,16.353855,2022-09-30T23:00:00Z,2023-01-01T00:00:00Z
10.2519,10.764495,2022-04-01T23:00:00Z,2022-09-30T23:00:00Z
14.61,15.3405,2021-10-13T23:00:00Z,2022-04-01T23:00:00Z
10.7,11.235,2021-05-11T23:00:00Z,2021-10-13T23:00:00Z
10.19,10.6995,2020-11-01T00:00:00Z,2021-05-11T23:00:00Z
8.88,9.324,2020-01-15T00:00:00Z,2020-11-01T00:00:00Z
8.88,9.324,2019-04-12T12:40:00Z,2020-01-15T00:00:00Z
