value_exc_vat,value_inc_vat,valid_from,valid_to
4.9533,5.200965,2024-06-30T23:00:00Z,
5.4838,5.75799,2024-03-31T23:00:00Z,2024-06-30T23:00:00Z
6.8,7.14,2024-01-01T00:00:00Z,2024-03-31T23:00:00Z
6.2571,6.569955,2023-09-30T23:00:00Z,2024-01-01T00:00:00Z
6.6762,7.01001,2023-06-30T23:00:00Z,2023-09-30T23:00:00Z
9.7494,10.23687,2023-03-31T23:00:00Z,2023-06-30T23:00:00Z
9.8422,10.33431,2022-09-30T23:00:00Z,2023-03-31T23:00:00Z
6.96,7.308,2022-04-20T23:00:00Z,2022-09-30T23:00:00Z
3.74,3.927,2022-02-08T00:00:00Z,2022-04-20T23:00:00Z
